n,degF,degG,degMAX,degOUT,tINITIALISE,tEVALUATE,tMULTIPLY,tCONSTRUCT,tRETURN,tTOTAL,CORRECTNESS
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,83,0,91,1
1000528294751,759,759,759,1518,0,7,0,83,0,92,1
1000528294751,759,759,759,1518,0,7,0,83,0,91,1
1000528294751,759,759,759,1518,0,7,0,84,0,92,1
1000528294751,759,759,759,1518,0,7,0,83,0,91,1
1000528294751,759,759,759,1518,0,7,0,82,0,90,1
1000528294751,759,759,759,1518,0,7,0,82,0,90,1
1000528294751,759,759,759,1518,0,7,0,83,0,92,1
1000528294751,759,759,759,1518,0,7,0,82,0,90,1
1000528294751,759,759,759,1518,0,7,0,81,0,89,1
1000528294751,759,759,759,1518,0,7,0,82,0,90,1
1000528294751,759,759,759,1518,0,7,0,82,0,91,1
1000528294751,759,759,759,1518,0,7,0,81,0,89,1
1000528294751,759,759,759,1518,0,7,0,81,0,89,1
1000528294751,759,759,759,1518,0,7,0,82,0,90,1
1000528294751,759,759,759,1518,0,7,0,79,0,87,1
1000528294751,759,759,759,1518,0,7,0,79,0,87,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,82,0,91,1
1000528294751,759,759,759,1518,0,7,0,81,0,89,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,79,0,87,1
1000528294751,759,759,759,1518,0,7,0,79,0,87,1
1000528294751,759,759,759,1518,0,7,0,82,0,90,1
1000528294751,759,759,759,1518,0,7,0,80,0,89,1
1000528294751,759,759,759,1518,0,7,0,79,0,87,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,79,0,87,1
1000528294751,759,759,759,1518,0,7,0,79,0,87,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
99999999999973,0,1,1,1,0,0,0,0,0,0,1
99999999999973,1,1,1,2,0,0,0,0,0,0,1
99999999999973,2,2,2,4,0,0,0,0,0,0,1
99999999999973,1,4,4,5,0,0,0,0,0,0,1
99999999999973,4,4,4,8,0,0,0,0,0,0,1
99999999999973,8,8,8,16,0,0,0,0,0,0,1
99999999999973,16,16,16,32,0,0,0,0,0,0,1
99999999999973,5,32,32,37,0,0,0,0,0,0,1
99999999999973,32,32,32,64,0,0,0,0,0,0,1
99999999999973,37,64,64,101,0,0,0,0,0,0,1
99999999999973,64,64,64,128,0,0,0,0,0,1,1
99999999999973,101,128,128,229,0,0,0,2,0,3,1
